material_id,formula,formation_energy,e_above_hull,comp_group,elements_set,elements,fractions,element_indices
mp-2713313,Na2LaHf(PO4)3,-3.100477255965993,0.087866235745609,Hf:0.10|La:0.10|Na:0.20|O:0.45|P:0.10,"{'Na', 'O', 'Hf', 'P', 'La'}","Hf,La,Na,O,P","0.11111111,0.11111111,0.22222222,0.44444444,0.11111111","44,53,65,73,76"
mp-1185333,LiAu3,-0.376453945416663,0.005273406249997,Au:0.75|Li:0.25,"{'Au', 'Li'}","Au,Li","0.75000000,0.25000000","8,54"
mp-561158,Na4Zr(MoO4)4,-2.305778072420689,0.003915343600016,Mo:0.10|Na:0.40|O:0.40|Zr:0.10,"{'Na', 'O', 'Mo', 'Zr'}","Mo,Na,O,Zr","0.10000000,0.40000000,0.40000000,0.10000000","62,65,73,118"
mp-2715392,Na6NbAl3Si2(PO6)4,-2.886909857921181,0.050336037869788,Al:0.15|Na:0.30|Nb:0.05|O:0.30|P:0.05|Si:0.10,"{'Nb', 'Na', 'O', 'Si', 'Al', 'P'}","Al,Na,Nb,O,P,Si","0.15789474,0.31578947,0.05263158,0.31578947,0.05263158,0.10526316","3,65,66,73,76,98"
mp-1216857,U4(BRu4)3,-0.48282770320178,0.005815977894741,B:0.10|Ru:0.45|U:0.45,"{'U', 'Ru', 'B'}","B,Ru,U","0.11111111,0.44444444,0.44444444","9,92,111"
mp-862874,PmAgHg2,-0.421870061874997,0.0,Ag:0.25|Hg:0.50|Pm:0.25,"{'Ag', 'Pm', 'Hg'}","Ag,Hg,Pm","0.25000000,0.50000000,0.25000000","2,45,80"
mp-755792,LuGaO3,-3.165389938333334,0.054542352833333,Ga:0.20|Lu:0.20|O:0.60,"{'Lu', 'O', 'Ga'}","Ga,Lu,O","0.20000000,0.20000000,0.60000000","39,56,73"
mp-1216318,Y3Th3Mn23,0.08903897170498,0.089038971704983,Mn:0.80|Th:0.10|Y:0.10,"{'Th', 'Y', 'Mn'}","Mn,Th,Y","0.79310345,0.10344828,0.10344828","61,106,115"
mp-554879,CuHgSBr,-0.538091971875001,0.028837948958333,Br:0.25|Cu:0.25|Hg:0.25|S:0.25,"{'Cu', 'S', 'Hg', 'Br'}","Br,Cu,Hg,S","0.25000000,0.25000000,0.25000000,0.25000000","15,27,45,93"
mp-1210053,Pr3Sn13Ru4,-0.419405712999996,0.0,Pr:0.15|Ru:0.20|Sn:0.65,"{'Sn', 'Pr', 'Ru'}","Pr,Ru,Sn","0.15000000,0.20000000,0.65000000","82,92,100"
mp-1225554,DyUN2,-1.803203099374997,0.0,Dy:0.25|N:0.50|U:0.25,"{'U', 'Dy', 'N'}","Dy,N,U","0.25000000,0.50000000,0.25000000","30,64,111"
mp-505805,Pr2Ni7P4,-0.828506052454211,0.0,Ni:0.55|P:0.30|Pr:0.15,"{'Pr', 'Ni', 'P'}","Ni,P,Pr","0.53846154,0.30769231,0.15384615","70,76,82"
mp-16756,Ta3Ga2,-0.355872181400002,0.0,Ga:0.40|Ta:0.60,"{'Ta', 'Ga'}","Ga,Ta","0.40000000,0.60000000","39,102"
mp-1079779,Tb2InCu2,-0.444775348000001,0.0,Cu:0.40|In:0.20|Tb:0.40,"{'Cu', 'In', 'Tb'}","Cu,In,Tb","0.40000000,0.20000000,0.40000000","27,49,103"
mp-1246790,Mg2AlCr3S8,-1.253732995714285,0.015040100535713,Al:0.05|Cr:0.20|Mg:0.15|S:0.55,"{'Al', 'Mg', 'Cr', 'S'}","Al,Cr,Mg,S","0.07142857,0.21428571,0.14285714,0.57142857","3,25,60,93"
mp-28315,Rb4CdBr6,-1.823142556363636,0.0,Br:0.55|Cd:0.10|Rb:0.35,"{'Cd', 'Rb', 'Br'}","Br,Cd,Rb","0.54545455,0.09090909,0.36363636","15,18,86"
mp-1194229,Fe3(PO5)2,-2.085623588952381,0.080160404833334,Fe:0.35|O:0.55|P:0.10,"{'Fe', 'O', 'P'}","Fe,O,P","0.33333333,0.55555556,0.11111111","35,73,76"
mp-863258,Sr2AsAu,-1.117750643652254,0.006150627895831,As:0.25|Au:0.25|Sr:0.50,"{'Au', 'Sr', 'As'}","As,Au,Sr","0.25000000,0.25000000,0.50000000","6,8,101"
mp-1227623,Ca4Mg4P4O17F3,-3.250008408080357,0.033485693109374,Ca:0.10|F:0.10|Mg:0.10|O:0.55|P:0.10,"{'O', 'P', 'F', 'Mg', 'Ca'}","Ca,F,Mg,O,P","0.12500000,0.09375000,0.12500000,0.53125000,0.12500000","17,34,60,73,76"
mp-1222346,LiMo6(SeS3)2,-0.968412870201388,0.054325848166666,Li:0.10|Mo:0.55|S:0.25|Se:0.10,"{'S', 'Se', 'Mo', 'Li'}","Li,Mo,S,Se","0.09090909,0.54545455,0.27272727,0.09090909","54,62,93,96"
